entry_id	species	cell_type	gene_symbol	gene_exp	cell_subtype	sub_gene_symbol	sample_type	tissue_type	disease	pubmed_id	count	journal	sci_if	evidence	title	author	date	geo_id	
5	Human	Monocytes	"S100A9, LYZ, RP11-1143G9.4, S100A8, VCAN, FOS, S100A12, MNDA, EGR1, CD14, CSTA, DUSP1, NEAT1, TYMP, GAPDH, TSPO, CCL5, CTSS, FCN1, MCL1, S100A6, MYL12A, IER2, NAMPT, MS4A6A"				Blood		Hepatocellular carcinoma (HCC)	30068984	6	Sci Rep	4	"Using the marker genes that define each of these clusters (Fig. 2C, D and STable 3) we identified cells compatible with monocytes, NK cells, B and T cells, plasmacytoid dendritic cells and red blood cells."	High-density single cell mRNA sequencing to characterize circulating tumor cells in hepatocellular carcinoma	Delia D' Avola	2018.8	GSE107747	
6	Human	Natural killer (NK) cells	"NKG7, CCL5, GNLY, IL32, CD3D, CST7, GZMH, PTPRCAP, GZMA, CD52, CD2, FGFBP2, GZMB, KLRD1, RARRES3, CCL4, CD3E, PRF1, AC092580.4, C12orf75, CD3G, CD8A, CTSW, LCK, HOPX, GZMM, CD8B, LYAR, EVL"				Blood		Hepatocellular carcinoma (HCC)	30068984	6	Sci Rep	4	"Using the marker genes that define each of these clusters (Fig. 2C, D and STable 4) we identified cells compatible with monocytes, NK cells, B and T cells, plasmacytoid dendritic cells and red blood cells."	High-density single cell mRNA sequencing to characterize circulating tumor cells in hepatocellular carcinoma	Delia D' Avola	2018.8	GSE107747	
7	Human	Red blood cells	"HBA1, HBB, HBD, HBA2, AHSP, SNCA, SLC25A37, UBB, HBM, ALAS2, CA1, IFI27, BPGM, GYPC, BNIP3L, SLC25A39, DCAF12, DAZAP2, MKRN1, TCEB2, CDC42, HEMGN, FAM46C, NFKBIZ, GMPR, C19orf43, FAM210B, CTSD, SELENBP1, OST4"				Blood		Hepatocellular carcinoma (HCC)	30068984	6	Sci Rep	4	"Using the marker genes that define each of these clusters (Fig. 2C, D and STable 5) we identified cells compatible with monocytes, NK cells, B and T cells, plasmacytoid dendritic cells and red blood cells."	High-density single cell mRNA sequencing to characterize circulating tumor cells in hepatocellular carcinoma	Delia D' Avola	2018.8	GSE107747	
8	Human	plasmacytoid Dentritic cells (pDC)	"IGJ, IRF8, GZMB, SEC61B, C12orf75, CCDC50, TCF4, LILRA4, ITM2C, IRF7, TCL1A, ALOX5AP, UGCG, PLD4, BCL11A, PPP1R14B, MZB1, TXN, SERPINF1, CLIC3, TSPAN13, LTB, VIMP, SPIB, SMPD3, LRRC26, OFD1, PTPRS, SOX4, SCT"				Blood		Hepatocellular carcinoma (HCC)	30068984	6	Sci Rep	4	"Using the marker genes that define each of these clusters (Fig. 2C, D and STable 6) we identified cells compatible with monocytes, NK cells, B and T cells, plasmacytoid dendritic cells and red blood cells."	High-density single cell mRNA sequencing to characterize circulating tumor cells in hepatocellular carcinoma	Delia D' Avola	2018.8	GSE107747	
9	Human	B cells	"HLA-DRA, CD74, HLA-DPB1, CD79A, HLA-DPA1, HLA-DQA1, HLA-DRB1, MS4A1, CD37, CD52, HLA-DQB1, RPS25, CD79B, RPS5, LTB, PTPRCAP, RPL3, RPL10A, RPSA, RPL18, RPS21, RPL14, BANK1, RPL5, RPS7, BTG1, NPM1, HLA-DRB5, EEF1B2, HLA-DMA"				Blood		Hepatocellular carcinoma (HCC)	30068984	6	Sci Rep	4	"Using the marker genes that define each of these clusters (Fig. 2C, D and STable 7) we identified cells compatible with monocytes, NK cells, B and T cells, plasmacytoid dendritic cells and red blood cells."	High-density single cell mRNA sequencing to characterize circulating tumor cells in hepatocellular carcinoma	Delia D' Avola	2018.8	GSE107747	
10	Human	T cells	"HNRNPA1, RPLP0, RPL3, RPL5, NPM1, RPL10A, EIF3E, RPSA, HSP90AB1, KIAA0125, EEF2, ZFAS1, SPINK2, LDHB, STMN1, ANP32B, SNHG7, SNHG8, C6orf48, SOX4, IMPDH2, RP11-620J15.3, EBPL, CYTL1, HMGA1, PRSS57, CDK6, ANKRD28, EGFL7, HOPX"				Blood		Hepatocellular carcinoma (HCC)	30068984	6	Sci Rep	4	"Using the marker genes that define each of these clusters (Fig. 2C, D and STable 8) we identified cells compatible with monocytes, NK cells, B and T cells, plasmacytoid dendritic cells and red blood cells."	High-density single cell mRNA sequencing to characterize circulating tumor cells in hepatocellular carcinoma	Delia D' Avola	2018.8	GSE107747	
11	Human	CD4 T cells	IL7R				Blood	PBMC	Merkel cell carcinoma	30250229	6	Nat Commun	12.12	Representative marker genes shown in Supplementary Fig. 7. b	Acquired cancer resistance to combination immunotherapy from transcriptional loss of class I HLA	K.G. Paulson	2018.9	GSE117988	
12	Human	B cells	MS4A1				Blood	PBMC	Merkel cell carcinoma	30250229	6	Nat Commun	12.12	Representative marker genes shown in Supplementary Fig. 7. b	Acquired cancer resistance to combination immunotherapy from transcriptional loss of class I HLA	K.G. Paulson	2018.9	GSE117988	
13	Human	Natural killer (NK) cells	GZMA				Blood	PBMC	Merkel cell carcinoma	30250229	6	Nat Commun	12.12	Representative marker genes shown in Supplementary Fig. 7. b	Acquired cancer resistance to combination immunotherapy from transcriptional loss of class I HLA	K.G. Paulson	2018.9	GSE117988	
14	Human	Myeloid cells	CD14				Blood	PBMC	Merkel cell carcinoma	30250229	6	Nat Commun	12.12	Representative marker genes shown in Supplementary Fig. 7. b	Acquired cancer resistance to combination immunotherapy from transcriptional loss of class I HLA	K.G. Paulson	2018.9	GSE117988	
