entry_id	species	cell_type	gene_symbol	gene_exp	cell_subtype	sub_gene_symbol	sample_type	tissue_type	disease	pubmed_id	count	journal	sci_if	evidence	title	author	date	geo_id
1	Mouse	Monocytes	"Mafb, Ly6c2"				Cell lines		Phagocytosis	30245008	4	Cell	38.64	"tSNE plots showing the normalized absolute UMI count (log2) of categorizing markers (Mafb, Ly6c2, H2Aa, Flt3) of (B). Cell identity was assigned based on the levels of expression of F4/80 (Mafb, mainly expressed in monocytes and mature TAM), Ly-6C (Ly6c2, a monocytic marker), MHCII (H2Aa, expressed in mature TAM and dendritic cells, but not immature monocytes) and Flt3 (Flt3, a dendritic cell transcription factor"	LC3-Associated Phagocytosis in Myeloid Cells Promotes Tumor Immune Tolerance	Larissa D. Cunha	2018.1	GSE118019
2	Mouse	Dendritic cells	"H2Aa, Flt3"				Cell lines		Phagocytosis	30245008	4	Cell	38.64	"tSNE plots showing the normalized absolute UMI count (log2) of categorizing markers (Mafb, Ly6c2, H2Aa, Flt3) of (B). Cell identity was assigned based on the levels of expression of F4/80 (Mafb, mainly expressed in monocytes and mature TAM), Ly-6C (Ly6c2, a monocytic marker), MHCII (H2Aa, expressed in mature TAM and dendritic cells, but not immature monocytes) and Flt3 (Flt3, a dendritic cell transcription factor"	LC3-Associated Phagocytosis in Myeloid Cells Promotes Tumor Immune Tolerance	Larissa D. Cunha	2018.1	GSE118019
3	Mouse	Macrophages			Mature TAM	"Mafb, H2Aa"	Cell lines		Phagocytosis	30245008	4	Cell	38.64	"tSNE plots showing the normalized absolute UMI count (log2) of categorizing markers (Mafb, Ly6c2, H2Aa, Flt3) of (B). Cell identity was assigned based on the levels of expression of F4/80 (Mafb, mainly expressed in monocytes and mature TAM), Ly-6C (Ly6c2, a monocytic marker), MHCII (H2Aa, expressed in mature TAM and dendritic cells, but not immature monocytes) and Flt3 (Flt3, a dendritic cell transcription factor"	LC3-Associated Phagocytosis in Myeloid Cells Promotes Tumor Immune Tolerance	Larissa D. Cunha	2018.1	GSE118019
4	Mouse	Macrophages			M2 macrophages	"Mrc1, Arg1"	Cell lines		Phagocytosis	30245008	4	Cell	38.64	"Based on F4/80, Ly-6C, and MHC-II, we identified 7 clusters of immature monocytic and mature TAM that were distinct in their distribution of subpopulations in Rubcn+/- and Rubcn-/- Mouse (Figures 3A_3D, S3D, and S3E). Among those, we observed a unique cluster of mature TAM (Ly-6Clo MHC-IIhi; cluster 5) primarily composed of Rubcn-/- cells with lower expression of M2 markers (Mrc1 and Arginase-1), "	LC3-Associated Phagocytosis in Myeloid Cells Promotes Tumor Immune Tolerance	Larissa D. Cunha	2018.1	GSE118019
22	Mouse	mammary Progenitors	Krt6				Cell lines		Triple-negative breast cancer (TNBC)	30042390	8	Nat Commun	12.12	Immunohistochemical detection of the mammary progenitor marker cytokeratin 6 (CK6; product of the Krt6 gene)	Targeting stromal remodeling and cancer stem cell plasticity overcomes chemoresistance in triple negative breast cancer	Aurélie S. Cazet	2018.7	PRJNA369574
23	Mouse	Cancer stem cells (CSCs)	"Id3, Gpc3, Thy1, Sox10, Krt6"				Cell lines		Triple-negative breast cancer (TNBC)	30042390	8	Nat Commun	12.12	"M6-Hh tumors also had elevated expression of the stemness markers Id3, Gpc3, Thy1, Sox10, and Krt6, validating the RNA-Seq data"	Targeting stromal remodeling and cancer stem cell plasticity overcomes chemoresistance in triple negative breast cancer	Aurélie S. Cazet	2018.7	PRJNA369574
24	Mouse	Cancer associated fibroblasts (CAFs)	"Pdpn, Pdgfrb"				Cell lines		Triple-negative breast cancer (TNBC)	30042390	8	Nat Commun	12.12	The classification of cell clusters was inferred using the following canonical markers	Targeting stromal remodeling and cancer stem cell plasticity overcomes chemoresistance in triple negative breast cancer	Aurélie S. Cazet	2018.7	PRJNA369574
25	Mouse	Tumor cells	Epcam				Cell lines		Triple-negative breast cancer (TNBC)	30042390	8	Nat Commun	12.12	The classification of cell clusters was inferred using the following canonical markers	Targeting stromal remodeling and cancer stem cell plasticity overcomes chemoresistance in triple negative breast cancer	Aurélie S. Cazet	2018.7	PRJNA369574
26	Mouse	Endothelial cells	"Cd34, Pecam1"				Cell lines		Triple-negative breast cancer (TNBC)	30042390	8	Nat Commun	12.12	The classification of cell clusters was inferred using the following canonical markers	Targeting stromal remodeling and cancer stem cell plasticity overcomes chemoresistance in triple negative breast cancer	Aurélie S. Cazet	2018.7	PRJNA369574
27	Mouse	Macrophages	"Ptprc, Cd68"				Cell lines		Triple-negative breast cancer (TNBC)	30042390	8	Nat Commun	12.12	The classification of cell clusters was inferred using the following canonical markers	Targeting stromal remodeling and cancer stem cell plasticity overcomes chemoresistance in triple negative breast cancer	Aurélie S. Cazet	2018.7	PRJNA369574
28	Mouse	Neutrophils	"Ptprc, Csf3r"				Cell lines		Triple-negative breast cancer (TNBC)	30042390	8	Nat Commun	12.12	The classification of cell clusters was inferred using the following canonical markers	Targeting stromal remodeling and cancer stem cell plasticity overcomes chemoresistance in triple negative breast cancer	Aurélie S. Cazet	2018.7	PRJNA369574
29	Mouse	Natural killer (NK) cells	"Ptprc, Ncr1"				Cell lines		Triple-negative breast cancer (TNBC)	30042390	8	Nat Commun	12.12	The classification of cell clusters was inferred using the following canonical markers	Targeting stromal remodeling and cancer stem cell plasticity overcomes chemoresistance in triple negative breast cancer	Aurélie S. Cazet	2018.7	PRJNA369574
30	Mouse	Acinar cells	Reg 				Tissues	Pancreas	Pancreatic cancer	32908137	8	Nat Commun	12	"acinar cells expressed high levels of Reg genes, "	Single-cell transcriptomes of pancreatic preinvasive lesions and cancer reveal acinar metaplastic cells' heterogeneity	Yehuda Schlesinger 	2020.9	GSE141017
31	Mouse	Immune cells	"C3, Tnf, Cxcl2, Fosl1, Il1rn, Ltb"				Tissues	Pancreas	Pancreatic cancer	32908137	8	Nat Commun	12	we observed an increase in the expression of genes that promote	Single-cell transcriptomes of pancreatic preinvasive lesions and cancer reveal acinar metaplastic cells' heterogeneity	Yehuda Schlesinger 	2020.9	GSE141017
32	Mouse	Metaplastic cells 	Sox9				Tissues	Pancreas	Pancreatic cancer	32908137	8	Nat Commun	12	metaplastic cells express high levels of tdTomato and Sox9	Single-cell transcriptomes of pancreatic preinvasive lesions and cancer reveal acinar metaplastic cells' heterogeneity	Yehuda Schlesinger 	2020.9	GSE141017
